,experience_coding,python_user,r_user,sql_user,most_used,compensation,category
198,1.9,True,False,True,TensorFlow,20390,< 5 Years
199,3.2,True,False,False,Scikit-learn,4791,< 5 Years
200,7.2,False,False,True,,16059,5-10 Years
201,14.1,True,False,False,Keras,62115,10-15 Years
202,1.9,True,False,False,Scikit-learn,73319,< 5 Years
203,0.93,False,False,False,,44491,< 5 Years
204,9.6,True,False,False,,74588,5-10 Years
205,1.4,True,True,False,,74799,< 5 Years
206,0.45,True,False,False,,57207,< 5 Years
207,3.2,True,False,False,Keras,14370,< 5 Years
208,1.0,True,False,True,Scikit-learn,57816,< 5 Years
209,4.4,True,False,False,TensorFlow,62513,< 5 Years
210,17.7,True,False,False,Keras,61763,15-20 Years
211,8.7,False,True,False,,50427,5-10 Years
212,28.9,True,True,True,Scikit-learn,1129,25+ Years
213,0.58,True,False,False,,59687,< 5 Years
214,1.3,False,False,False,,67959,< 5 Years
215,11.3,False,True,False,,62849,10-15 Years
216,3.1,True,False,True,Scikit-learn,1337,< 5 Years
217,2.5,True,False,False,Keras,72317,< 5 Years
218,5.9,True,False,True,Keras,31044,5-10 Years
219,2.7,True,False,True,Keras,66163,< 5 Years
220,1.1,True,False,True,Scikit-learn,11165,< 5 Years
221,16.5,False,True,False,Scikit-learn,68871,15-20 Years
222,7.5,True,False,True,Keras,22332,5-10 Years
223,25.2,True,True,False,Scikit-learn,6196,25+ Years
224,0.88,True,False,False,,388,< 5 Years
225,0.6,True,False,False,Scikit-learn,12925,< 5 Years
226,4.1,True,False,True,Scikit-learn,3092,< 5 Years
227,8.2,True,False,False,PyTorch,8880,5-10 Years
228,5.7,True,False,False,PyTorch,65433,5-10 Years
229,0.49,True,False,False,Scikit-learn,13423,< 5 Years
230,2.6,True,False,False,Scikit-learn,4704,< 5 Years
231,2.2,True,False,False,Keras,740,< 5 Years
232,9.2,True,False,False,Scikit-learn,64640,5-10 Years
233,4.0,True,False,True,Scikit-learn,63,< 5 Years
234,28.6,True,False,True,,79687,25+ Years
235,0.6,True,False,False,Scikit-learn,63155,< 5 Years
236,2.9,True,False,True,,54825,< 5 Years
237,29.7,True,False,False,TensorFlow,61352,25+ Years
238,1.7,True,False,False,,64184,< 5 Years
239,24.0,True,False,True,Keras,130578,20-25 Years
240,1.7,True,False,False,PyTorch,57821,< 5 Years
241,0.66,True,True,True,,52061,< 5 Years
242,3.2,True,False,True,Scikit-learn,2279,< 5 Years
243,2.2,True,True,False,Scikit-learn,73945,< 5 Years
244,0.97,True,False,False,TensorFlow,62225,< 5 Years
245,0.73,True,False,False,,52153,< 5 Years
246,6.1,True,False,True,Keras,32815,5-10 Years
247,3.3,True,False,True,PyTorch,178,< 5 Years
248,0.34,True,False,False,Scikit-learn,553,< 5 Years
249,5.3,True,False,True,TensorFlow,64796,5-10 Years
250,0.93,True,False,False,Scikit-learn,51701,< 5 Years
251,4.3,True,False,False,,70917,< 5 Years
252,2.7,False,False,False,,1672,< 5 Years
253,1.4,False,False,True,,561,< 5 Years
254,13.7,False,False,True,,64214,10-15 Years
255,3.6,True,False,True,Scikit-learn,32809,< 5 Years
256,1.5,True,False,True,Scikit-learn,61430,< 5 Years
257,0.42,False,False,True,TensorFlow,2852,< 5 Years
258,29.1,True,False,True,Scikit-learn,124867,25+ Years
259,23.9,True,False,True,Scikit-learn,55354,20-25 Years
260,0.0,False,False,False,,341,< 5 Years
261,2.2,True,False,True,Scikit-learn,3241,< 5 Years
262,10.0,True,False,True,Keras,114569,5-10 Years
263,0.93,True,True,True,,5068,< 5 Years
264,9.2,True,False,True,TensorFlow,53406,5-10 Years
265,15.1,True,True,True,PyTorch,67586,15-20 Years
266,14.6,True,False,False,PyTorch,368,10-15 Years
267,1.8,True,False,False,PyTorch,66719,< 5 Years
268,9.6,True,True,True,,61028,5-10 Years
269,3.2,True,False,False,TensorFlow,380,< 5 Years
270,2.4,True,False,True,Scikit-learn,104,< 5 Years
271,1.9,True,False,False,PyTorch,57262,< 5 Years
272,0.98,False,False,False,,72756,< 5 Years
273,16.7,True,False,True,Scikit-learn,117471,15-20 Years
274,6.6,True,False,True,,948,5-10 Years
275,1.6,True,False,False,TensorFlow,3458,< 5 Years
276,3.7,True,True,False,TensorFlow,62798,< 5 Years
277,2.7,False,False,False,,59402,< 5 Years
278,0.53,True,False,False,Scikit-learn,54542,< 5 Years
279,0.77,True,True,False,Scikit-learn,69584,< 5 Years
280,0.76,True,False,True,TensorFlow,2762,< 5 Years
281,0.73,True,False,False,,51493,< 5 Years
282,0.34,True,False,True,Keras,397,< 5 Years
283,24.7,True,False,False,Keras,268277,20-25 Years
284,1.4,True,True,True,Scikit-learn,13504,< 5 Years
285,11.7,False,False,False,Scikit-learn,236436,10-15 Years
286,3.9,True,False,True,Scikit-learn,69429,< 5 Years
287,15.0,True,True,True,Scikit-learn,183614,10-15 Years
288,4.7,True,False,False,Scikit-learn,62053,< 5 Years
289,0.41,False,False,False,,20029,< 5 Years
290,0.0,False,False,False,,64,< 5 Years
291,2.3,True,False,True,,55068,< 5 Years
292,2.2,True,True,True,Keras,2756,< 5 Years
293,1.0,True,False,False,Keras,68080,< 5 Years
294,1.9,True,False,True,,51110,< 5 Years
295,0.44,True,False,False,Scikit-learn,6055,< 5 Years
296,0.0,False,False,False,,566,< 5 Years
297,2.9,True,False,True,,57222,< 5 Years
298,29.0,True,True,False,TensorFlow,30662,25+ Years
299,12.0,True,False,False,,57836,10-15 Years
300,3.2,True,False,False,TensorFlow,8651,< 5 Years
301,3.2,True,False,False,PyTorch,50354,< 5 Years
302,1.5,True,False,False,TensorFlow,67366,< 5 Years
303,1.8,False,False,True,,3181,< 5 Years
304,0.75,True,False,False,Keras,50292,< 5 Years
305,20.1,False,True,False,,26892,20-25 Years
306,19.2,True,False,False,PyTorch,70349,15-20 Years
307,8.7,True,True,True,Scikit-learn,11195,5-10 Years
308,0.0,False,False,False,,51080,< 5 Years
309,4.9,False,False,False,,9638,< 5 Years
310,21.5,True,False,False,Scikit-learn,441,20-25 Years
311,1.6,True,False,False,TensorFlow,15222,< 5 Years
312,0.37,True,False,False,PyTorch,748,< 5 Years
313,17.4,True,False,False,Scikit-learn,65215,15-20 Years
314,4.6,True,False,False,Keras,25696,< 5 Years
315,5.2,True,False,False,Scikit-learn,54268,5-10 Years
316,9.5,True,False,True,PyTorch,62430,5-10 Years
317,1.2,True,True,True,,57599,< 5 Years
318,2.0,True,False,False,,61169,< 5 Years
319,2.5,True,False,False,Scikit-learn,72278,< 5 Years
320,1.6,True,False,False,,56628,< 5 Years
321,1.7,True,True,True,Scikit-learn,58598,< 5 Years
322,18.3,True,False,True,,104890,15-20 Years
323,6.1,True,False,True,TensorFlow,70778,5-10 Years
324,0.48,True,False,False,Scikit-learn,1920,< 5 Years
325,2.9,True,True,True,Scikit-learn,64650,< 5 Years
326,2.9,True,False,True,Scikit-learn,61957,< 5 Years
327,1.6,True,True,False,PyTorch,280,< 5 Years
328,2.4,True,False,True,,53807,< 5 Years
329,5.1,True,True,False,Scikit-learn,4278,5-10 Years
330,0.43,True,False,True,,62815,< 5 Years
331,0.81,True,True,True,Scikit-learn,55603,< 5 Years
332,10.5,True,False,False,,45474,10-15 Years
333,0.22,True,True,True,,59812,< 5 Years
334,1.8,True,False,True,Keras,10176,< 5 Years
335,9.1,True,True,True,TensorFlow,3449,5-10 Years
336,4.3,True,False,False,Keras,330,< 5 Years
337,7.7,True,False,False,,50545,5-10 Years
338,8.1,True,True,False,TensorFlow,303,5-10 Years
339,4.1,False,True,False,Keras,64186,< 5 Years
340,1.7,True,True,False,,1426,< 5 Years
341,1.4,True,False,False,Scikit-learn,750,< 5 Years
342,22.9,True,False,True,TensorFlow,74868,20-25 Years
343,18.5,True,False,True,Scikit-learn,26708,15-20 Years
344,2.2,True,False,True,PyTorch,64493,< 5 Years
345,0.42,True,True,True,TensorFlow,79,< 5 Years
346,24.1,False,False,True,,72549,20-25 Years
347,5.8,True,False,True,Keras,28039,5-10 Years
348,0.93,False,False,False,,59061,< 5 Years
349,4.8,True,False,False,Scikit-learn,69723,< 5 Years
350,2.6,True,False,True,Scikit-learn,69452,< 5 Years
351,3.1,True,False,True,Keras,22665,< 5 Years
352,4.0,True,False,False,Scikit-learn,214,< 5 Years
353,9.9,True,False,False,Scikit-learn,2355,5-10 Years
354,7.2,True,True,True,Keras,162385,5-10 Years
355,5.4,True,False,True,TensorFlow,5871,5-10 Years
356,8.3,True,False,True,TensorFlow,853,5-10 Years
357,2.9,True,False,True,PyTorch,3929,< 5 Years
358,0.54,True,False,True,Scikit-learn,58863,< 5 Years
359,0.55,True,False,False,TensorFlow,8009,< 5 Years
360,0.0,False,False,False,,68498,< 5 Years
361,0.36,False,False,False,,1948,< 5 Years
362,1.0,True,False,True,PyTorch,69648,< 5 Years
363,6.3,True,True,True,,74877,5-10 Years
364,2.3,True,False,False,Keras,65598,< 5 Years
365,0.68,False,False,True,,54524,< 5 Years
366,1.6,True,False,True,Keras,66262,< 5 Years
367,0.0,False,False,False,,4427,< 5 Years
368,0.58,False,False,False,,31841,< 5 Years
369,0.85,True,False,False,,54481,< 5 Years
370,2.9,True,False,True,Scikit-learn,57717,< 5 Years
371,3.4,True,True,True,Scikit-learn,25721,< 5 Years
372,25.4,True,False,True,Scikit-learn,64217,25+ Years
373,8.8,True,False,True,TensorFlow,2203,5-10 Years
374,5.5,True,True,False,TensorFlow,62142,5-10 Years
375,4.2,True,False,True,Scikit-learn,12573,< 5 Years
376,14.2,True,False,True,TensorFlow,13212,10-15 Years
377,2.8,True,False,False,Scikit-learn,71758,< 5 Years
378,5.2,False,False,False,,4306,5-10 Years
379,1.6,True,False,True,Scikit-learn,835,< 5 Years
380,1.3,True,False,False,Scikit-learn,601,< 5 Years
381,4.9,True,True,True,Scikit-learn,61209,< 5 Years
382,0.0,False,False,False,,365,< 5 Years
383,0.4,True,False,False,,702,< 5 Years
384,0.93,True,True,True,,67436,< 5 Years
385,2.4,True,False,False,Keras,73296,< 5 Years
386,10.7,True,False,False,TensorFlow,63999,10-15 Years
387,2.1,True,False,True,Keras,58760,< 5 Years
388,2.4,True,True,True,Scikit-learn,70522,< 5 Years
389,14.8,False,True,True,,78489,10-15 Years
390,3.5,True,False,True,,59768,< 5 Years
391,21.8,True,True,False,Scikit-learn,53040,20-25 Years
392,4.3,True,True,True,Scikit-learn,1894,< 5 Years
393,12.9,True,False,False,Scikit-learn,124879,10-15 Years
394,2.5,True,True,True,PyTorch,98886,< 5 Years
395,0.96,True,False,False,PyTorch,797,< 5 Years
396,1.9,False,True,False,,67900,< 5 Years
397,21.7,True,False,True,PyTorch,169111,20-25 Years
398,0.27,True,True,False,,69490,< 5 Years
399,16.8,True,False,False,PyTorch,18059,15-20 Years
400,1.8,True,False,False,,61535,< 5 Years
401,27.8,True,True,False,TensorFlow,279,25+ Years
402,1.0,True,True,False,Scikit-learn,4951,< 5 Years
403,8.2,True,False,True,Scikit-learn,675,5-10 Years
404,2.5,True,True,True,,66662,< 5 Years
405,2.2,True,False,True,Scikit-learn,5345,< 5 Years
406,1.3,True,False,False,Scikit-learn,15827,< 5 Years
407,7.1,True,True,True,Scikit-learn,268,5-10 Years
408,10.0,False,False,False,,63128,5-10 Years
409,0.95,True,False,False,Scikit-learn,51943,< 5 Years
410,6.3,False,True,False,,7606,5-10 Years
411,1.8,True,False,True,TensorFlow,55361,< 5 Years
412,0.29,True,False,False,,2284,< 5 Years
413,4.9,True,True,False,Scikit-learn,13232,< 5 Years
414,0.73,True,False,False,Scikit-learn,70,< 5 Years
415,3.7,True,False,False,Scikit-learn,51162,< 5 Years
416,5.1,True,False,True,Scikit-learn,24490,5-10 Years
417,1.9,True,False,False,TensorFlow,58763,< 5 Years
418,0.21,True,True,True,,57140,< 5 Years
419,0.36,True,False,False,,53937,< 5 Years
420,9.9,True,True,True,Keras,10720,5-10 Years
421,1.3,True,False,True,,55375,< 5 Years
422,13.1,True,False,True,TensorFlow,9526,10-15 Years
423,0.33,True,False,False,Scikit-learn,74828,< 5 Years
424,2.8,True,True,False,Scikit-learn,584,< 5 Years
425,1.4,True,False,False,TensorFlow,42097,< 5 Years
426,2.7,True,False,False,Keras,62804,< 5 Years
427,1.7,True,False,False,,4296,< 5 Years
428,1.1,True,False,False,Scikit-learn,60567,< 5 Years
429,5.6,True,True,True,,102894,5-10 Years
430,0.7,False,True,True,,29160,< 5 Years
431,0.73,True,True,True,Scikit-learn,1491,< 5 Years
432,2.8,False,False,False,Keras,614,< 5 Years
433,9.4,True,False,True,Keras,37053,5-10 Years
434,2.4,True,False,True,PyTorch,181179,< 5 Years
435,3.0,True,False,False,,55377,< 5 Years
436,8.4,True,False,True,Scikit-learn,6947,5-10 Years
437,3.4,True,False,True,Scikit-learn,21934,< 5 Years
438,0.64,True,False,True,,65,< 5 Years
439,1.4,True,False,True,,57123,< 5 Years
440,2.0,True,False,True,Scikit-learn,1943,< 5 Years
441,2.2,True,False,False,Keras,67032,< 5 Years
442,3.8,True,False,True,,63358,< 5 Years
443,3.2,True,False,False,Scikit-learn,28,< 5 Years
444,0.95,True,False,False,Scikit-learn,3519,< 5 Years
445,2.6,False,True,False,,356,< 5 Years
446,14.2,True,False,False,TensorFlow,158644,10-15 Years
447,0.64,True,False,False,Scikit-learn,7226,< 5 Years
448,16.7,True,False,True,Scikit-learn,12915,15-20 Years
449,0.83,True,True,True,PyTorch,73268,< 5 Years
450,2.9,True,False,True,,57188,< 5 Years
451,0.49,True,False,False,Scikit-learn,102,< 5 Years
452,19.6,True,False,True,Scikit-learn,3032,15-20 Years
453,1.1,True,False,False,,123071,< 5 Years
454,0.57,True,False,True,PyTorch,250388,< 5 Years
455,2.1,True,False,True,TensorFlow,70915,< 5 Years
456,2.4,True,False,True,,201,< 5 Years
457,16.9,True,True,True,,246015,15-20 Years
458,2.9,True,False,False,TensorFlow,11378,< 5 Years
459,9.0,False,True,False,Scikit-learn,303,5-10 Years
460,3.5,True,False,False,TensorFlow,50638,< 5 Years
461,0.91,True,False,True,Scikit-learn,20749,< 5 Years
462,6.4,True,False,False,,521,5-10 Years
463,7.0,True,False,True,TensorFlow,17911,5-10 Years
464,2.0,False,False,True,,70675,< 5 Years
465,0.56,True,False,False,PyTorch,70432,< 5 Years
466,0.67,True,False,False,Scikit-learn,78601,< 5 Years
467,0.69,True,True,True,Scikit-learn,1282,< 5 Years
468,9.1,True,True,False,TensorFlow,99399,5-10 Years
469,1.8,False,False,False,PyTorch,1503,< 5 Years
470,1.2,True,False,True,Keras,53171,< 5 Years
471,9.6,False,False,False,,57165,5-10 Years
472,16.6,True,True,True,Scikit-learn,25114,15-20 Years
473,1.1,True,False,False,Keras,26960,< 5 Years
474,9.0,True,False,False,Scikit-learn,60063,5-10 Years
475,0.0,False,False,False,,610,< 5 Years
476,4.5,True,False,False,Keras,69739,< 5 Years
477,0.0,False,False,False,,3134,< 5 Years
478,6.8,True,False,True,Scikit-learn,66837,5-10 Years
479,0.54,True,False,True,Scikit-learn,55165,< 5 Years
480,3.6,False,False,False,Keras,988,< 5 Years
481,14.6,False,False,False,,55580,10-15 Years
482,17.0,True,True,True,TensorFlow,76201,15-20 Years
483,0.67,True,False,False,Keras,64966,< 5 Years
484,0.92,False,True,False,,6350,< 5 Years
485,0.7,True,False,False,TensorFlow,74951,< 5 Years
486,6.0,True,True,False,Keras,51312,5-10 Years
487,0.36,False,True,False,,666,< 5 Years
488,5.1,True,True,True,Scikit-learn,293904,5-10 Years
489,4.8,True,False,True,PyTorch,106322,< 5 Years
490,0.43,False,False,False,,60814,< 5 Years
491,0.39,True,False,False,,70572,< 5 Years
492,0.88,True,False,True,Scikit-learn,68837,< 5 Years
493,0.55,True,False,True,Scikit-learn,62093,< 5 Years
494,0.62,True,False,True,,54114,< 5 Years
495,2.8,True,False,True,PyTorch,979,< 5 Years
496,0.96,True,True,False,Scikit-learn,2235,< 5 Years
497,1.4,True,False,False,Keras,3303,< 5 Years
498,25.8,True,False,False,Scikit-learn,71650,25+ Years
499,1.5,True,False,False,,5145,< 5 Years
500,0.98,True,False,False,,56213,< 5 Years
501,3.3,False,False,False,,57850,< 5 Years
502,2.1,True,False,False,Scikit-learn,62878,< 5 Years
503,4.6,True,True,False,Scikit-learn,53195,< 5 Years
504,9.6,False,False,True,TensorFlow,2312,5-10 Years
505,1.3,False,True,True,,163016,< 5 Years
506,0.26,True,False,False,TensorFlow,80274,< 5 Years
507,9.6,True,True,False,,34215,5-10 Years
508,2.3,True,False,False,Scikit-learn,68870,< 5 Years
509,1.7,True,False,True,TensorFlow,245,< 5 Years
510,11.1,True,False,True,Scikit-learn,92681,10-15 Years
511,3.3,True,False,False,Scikit-learn,72998,< 5 Years
512,0.84,True,False,False,,61803,< 5 Years
513,3.7,True,False,False,Scikit-learn,269443,< 5 Years
514,1.5,True,False,True,,58537,< 5 Years
515,1.9,True,True,True,Scikit-learn,160989,< 5 Years
516,2.9,True,False,True,Keras,21386,< 5 Years
517,25.3,True,False,False,Keras,262267,25+ Years
518,11.0,True,True,False,Scikit-learn,40701,10-15 Years
519,14.5,False,False,False,PyTorch,14184,10-15 Years
520,0.91,True,False,False,Keras,51286,< 5 Years
521,0.31,True,False,False,Scikit-learn,27246,< 5 Years
